Datum (MEZ),Nicht Erneuerbar,Erneuerbar,Day Ahead Auktion EXAA (DE-LU)
,Leistung (MW),Leistung (MW),"Preis (EUR/MWh, EUR/tCO2)"
2024-01-03T18:45+01:00,14251.62242,44180.10114,80.89
2024-01-03T19:00+01:00,13975.8267,43750.31623,92.43
2024-01-03T19:15+01:00,13851.54795,43356.61584,89.91
2024-01-03T19:30+01:00,13726.17387,42936.82968,68.57
2024-01-03T19:45+01:00,13502.48391,42538.87376,45.09
2024-01-03T20:00+01:00,13316.5384,42128.68234,114.93
2024-01-03T20:15+01:00,13223.17577,42015.44932,82.85
2024-01-03T20:30+01:00,13096.80413,42005.77873,40.05
2024-01-03T20:45+01:00,12773.56072,41967.30065,30.05
2024-01-03T21:00+01:00,12417.58656,41931.61124,84.97
2024-01-03T21:15+01:00,12239.4637,41671.95982,72.43
2024-01-03T21:30+01:00,11873.66807,41389.65221,64.92
2024-01-03T21:45+01:00,11668.05223,41106.63739,36.24
2024-01-03T22:00+01:00,11419.53597,40370.52626,99.95
2024-01-03T22:15+01:00,11447.16258,40281.08884,67.45
2024-01-03T22:30+01:00,11426.85224,40412.90017,57.42
2024-01-03T22:45+01:00,11326.53604,40462.28208,32.06
2024-01-03T23:00+01:00,11236.38333,40517.52603,69.94
2024-01-03T23:15+01:00,11170.91829,40643.3156,59.92
2024-01-03T23:30+01:00,11082.13021,40786.99692,49.91
2024-01-03T23:45+01:00,10968.84649,40901.31427,43.54
2024-01-04T00:00+01:00,10784.18149,40931.76322,59.95
2024-01-04T00:15+01:00,10428.20032,41015.9107,49.93
2024-01-04T00:30+01:00,10416.30722,41182.31245,42.4
2024-01-04T00:45+01:00,10282.15056,41335.97533,29.89
2024-01-04T01:00+01:00,10147.58337,41401.28976,49.96
2024-01-04T01:15+01:00,10057.06979,41536.27066,44.93
2024-01-04T01:30+01:00,10140.11952,41998.82314,34.92
2024-01-04T01:45+01:00,10074.25923,42133.93229,29.92
2024-01-04T02:00+01:00,10040.8819,42458.93604,41.6
2024-01-04T02:15+01:00,10150.99784,42980.15696,29.7
2024-01-04T02:30+01:00,10212.58468,43070.60203,27
2024-01-04T02:45+01:00,10196.6938,42968.87652,21.59
2024-01-04T03:00+01:00,10296.32745,43297.44207,27.7
2024-01-04T03:15+01:00,10296.71854,43434.37876,16.2
2024-01-04T03:30+01:00,10286.87647,43388.43047,23.09
2024-01-04T03:45+01:00,10271.03545,43238.64299,27.69
2024-01-04T04:00+01:00,10211.20559,43342.68032,31.76
2024-01-04T04:15+01:00,10253.11193,43724.37532,24.7
2024-01-04T04:30+01:00,10328.96069,43949.32556,34.91
2024-01-04T04:45+01:00,10444.42093,44046.47497,39.99
2024-01-04T05:00+01:00,10883.44854,44181.78786,6.5
2024-01-04T05:15+01:00,11110.13355,44286.09543,34.7
2024-01-04T05:30+01:00,11251.74469,44372.83692,47.6
2024-01-04T05:45+01:00,11422.28039,44131.25593,99.35
2024-01-04T06:00+01:00,12310.88701,44324.98048,24.97
2024-01-04T06:15+01:00,12846.43096,43978.07565,54.6
2024-01-04T06:30+01:00,13203.98831,43660.7222,74.49
2024-01-04T06:45+01:00,14121.8266,43411.22887,107.42
2024-01-04T07:00+01:00,15112.84576,43158.50485,41.27
2024-01-04T07:15+01:00,15768.73039,43139.42863,79.91
2024-01-04T07:30+01:00,16035.91521,42779.02724,87.2
2024-01-04T07:45+01:00,16399.34036,42367.15343,119.94
2024-01-04T08:00+01:00,16690.22532,42108.57402,60.9
2024-01-04T08:15+01:00,16877.5933,41612.59573,75.55
2024-01-04T08:30+01:00,17016.57941,41341.58599,102.42
2024-01-04T08:45+01:00,17131.00085,41068.65833,109.93
2024-01-04T09:00+01:00,17554.50543,40993.32459,70
2024-01-04T09:15+01:00,17758.61235,41005.21974,78.5
2024-01-04T09:30+01:00,18026.12725,41305.75649,100.14
2024-01-04T09:45+01:00,18021.50067,41360.37402,105.13
2024-01-04T10:00+01:00,18099.6301,41649.91281,78.9
2024-01-04T10:15+01:00,17946.7544,41886.1866,79.98
2024-01-04T10:30+01:00,17917.20416,41744.90382,99.32
2024-01-04T10:45+01:00,17870.52139,41572.49583,92.49
2024-01-04T11:00+01:00,17970.70798,41515.79446,92.52
2024-01-04T11:15+01:00,17979.08049,41369.78641,84.97
2024-01-04T11:30+01:00,18183.24259,41379.25656,84.97
2024-01-04T11:45+01:00,18174.12929,41076.90775,84.97
